Country	 	Average height	Weight	BMI	 	Average height	Weight	BMI
Netherlands	 	1.83 m	87.4 kg	26.1	 	1.69 m	72.3 kg	25.3
Latvia	 	1.81 m	88.8 kg	27.1	 	1.69 m	75.4 kg	26.4
Denmark	 	1.81 m	86.2 kg	26.3	 	1.68 m	69.4 kg	24.6
Estonia	 	1.81 m	88.5 kg	27.0	 	1.68 m	73.4 kg	26.0
Bosnia and Herzegovina	 	1.81 m	86.5 kg	26.4	 	1.67 m	70.6 kg	25.3
Iceland	 	1.81 m	88.8 kg	27.1	 	1.67 m	71.4 kg	25.6
Serbia	 	1.81 m	87.5 kg	26.7	 	1.67 m	71.7 kg	25.7
Belgium	 	1.81 m	87.8 kg	26.8	 	1.65 m	70.0 kg	25.7
Czechia	 	1.80 m	91.0 kg	28.1	 	1.68 m	74.5 kg	26.4
Croatia	 	1.80 m	90.7 kg	28.0	 	1.66 m	74.1 kg	26.9
Norway	 	1.80 m	88.8 kg	27.4	 	1.66 m	72.2 kg	26.2
Sweden	 	1.80 m	86.8 kg	26.8	 	1.66 m	70.0 kg	25.4
Germany	 	1.80 m	88.8 kg	27.4	 	1.66 m	71.6 kg	26.0
Slovenia	 	1.80 m	86.2 kg	26.6	 	1.66 m	73.3 kg	26.6
Finland	 	1.80 m	86.2 kg	26.6	 	1.66 m	70.8 kg	25.7
Slovakia	 	1.79 m	87.8 kg	27.4	 	1.67 m	71.4 kg	25.6
Lithuania	 	1.79 m	86.8 kg	27.1	 	1.66 m	71.9 kg	26.1
Australia	 	1.79 m	88.8 kg	27.7	 	1.65 m	73.0 kg	26.8
France	 	1.79 m	83.3 kg	26.0	 	1.65 m	66.4 kg	24.4
Ukraine	 	1.78 m	85.5 kg	27.0	 	1.66 m	72.7 kg	26.4
Belarus	 	1.78 m	84.0 kg	26.5	 	1.66 m	74.1 kg	26.9
Bulgaria	 	1.78 m	86.2 kg	27.2	 	1.65 m	70.5 kg	25.9
Ireland	 	1.78 m	88.7 kg	28.0	 	1.65 m	73.8 kg	27.1
Austria	 	1.78 m	84.3 kg	26.6	 	1.65 m	67.2 kg	24.7
Luxembourg	 	1.78 m	86.2 kg	27.2	 	1.65 m	70.0 kg	25.7
New Zealand	 	1.78 m	89.3 kg	28.2	 	1.65 m	76.2 kg	28.0
